City,DAUID,DGUID,LANDAREA,PRUID
Lethbridge,48020373,2021S051248020373,0.2037,48
Lethbridge,48020374,2021S051248020374,0.278,48
Lethbridge,48020375,2021S051248020375,0.2478,48
Lethbridge,48020376,2021S051248020376,0.1453,48
Lethbridge,48020377,2021S051248020377,0.3781,48
Lethbridge,48020378,2021S051248020378,0.0932,48
Lethbridge,48020379,2021S051248020379,0.1427,48
Lethbridge,48020382,2021S051248020382,0.2519,48
Lethbridge,48020383,2021S051248020383,0.1268,48
Lethbridge,48020384,2021S051248020384,0.1477,48
Lethbridge,48020385,2021S051248020385,0.1032,48
Lethbridge,48020401,2021S051248020401,4.034,48
Lethbridge,48020402,2021S051248020402,0.1855,48
Lethbridge,48020403,2021S051248020403,0.1945,48
Lethbridge,48020427,2021S051248020427,2.7278,48
Lethbridge,48020428,2021S051248020428,0.1798,48
Lethbridge,48020429,2021S051248020429,0.5131,48
Lethbridge,48020430,2021S051248020430,8.3848,48
Lethbridge,48020431,2021S051248020431,0.3582,48
Lethbridge,48020432,2021S051248020432,0.4475,48
Lethbridge,48020433,2021S051248020433,0.8147,48
Lethbridge,48020434,2021S051248020434,21.0736,48
Lethbridge,48020436,2021S051248020436,0.2458,48
Regina,47060129,2021S051247060129,0.4838,47
Regina,47060130,2021S051247060130,0.2668,47
Regina,47060131,2021S051247060131,0.211,47
Regina,47060132,2021S051247060132,0.2022,47
Regina,47060133,2021S051247060133,0.3545,47
Regina,47060134,2021S051247060134,0.1876,47
Regina,47060135,2021S051247060135,0.1294,47
Regina,47060136,2021S051247060136,0.1495,47
Regina,47060137,2021S051247060137,0.2331,47
Regina,47060138,2021S051247060138,0.1979,47
Regina,47060139,2021S051247060139,0.1728,47
Regina,47060140,2021S051247060140,0.232,47
Regina,47060141,2021S051247060141,0.2357,47
Regina,47060142,2021S051247060142,0.1517,47
Regina,47060143,2021S051247060143,0.0571,47
Regina,47060144,2021S051247060144,0.1149,47
Regina,47060145,2021S051247060145,0.2268,47
Regina,47060146,2021S051247060146,0.0984,47
Regina,47060147,2021S051247060147,0.1756,47
Regina,47060148,2021S051247060148,0.2704,47
Regina,47060149,2021S051247060149,0.2411,47
Regina,47060150,2021S051247060150,0.1442,47
Regina,47060151,2021S051247060151,0.2991,47
Regina,47060152,2021S051247060152,0.2967,47
Regina,47060153,2021S051247060153,0.1455,47
Regina,47060154,2021S051247060154,0.1995,47
Regina,47060155,2021S051247060155,0.5339,47
Regina,47060156,2021S051247060156,0.1714,47
Regina,47060157,2021S051247060157,0.0929,47
Regina,47060160,2021S051247060160,0.1477,47
Regina,47060161,2021S051247060161,0.242,47
Regina,47060162,2021S051247060162,0.1243,47
Regina,47060163,2021S051247060163,0.1998,47
Regina,47060164,2021S051247060164,0.2262,47
Regina,47060165,2021S051247060165,0.1318,47
Regina,47060166,2021S051247060166,0.0735,47
Regina,47060176,2021S051247060176,0.159,47
Regina,47060177,2021S051247060177,0.3074,47
Regina,47060178,2021S051247060178,0.1258,47
Regina,47060179,2021S051247060179,0.1254,47
Regina,47060180,2021S051247060180,0.1879,47
Regina,47060181,2021S051247060181,0.1416,47
Regina,47060182,2021S051247060182,0.1242,47
Regina,47060183,2021S051247060183,0.1269,47
Regina,47060184,2021S051247060184,0.1761,47
Regina,47060185,2021S051247060185,0.2037,47
Regina,47060186,2021S051247060186,0.304,47
Regina,47060187,2021S051247060187,0.27,47
Regina,47060188,2021S051247060188,0.0868,47
Regina,47060189,2021S051247060189,0.2419,47
Regina,47060190,2021S051247060190,1.1362,47
Regina,47060191,2021S051247060191,0.1765,47
Regina,47060192,2021S051247060192,0.2593,47
Regina,47060193,2021S051247060193,0.1986,47
Regina,47060194,2021S051247060194,0.1916,47
Regina,47060195,2021S051247060195,0.1705,47
Regina,47060197,2021S051247060197,0.1929,47
Regina,47060200,2021S051247060200,0.1471,47
Regina,47060205,2021S051247060205,0.194,47
Regina,47060206,2021S051247060206,0.1251,47
Regina,47060207,2021S051247060207,0.1084,47
Regina,47060208,2021S051247060208,0.1079,47
Regina,47060209,2021S051247060209,0.0647,47
Regina,47060210,2021S051247060210,0.2056,47
Regina,47060211,2021S051247060211,0.1872,47
Regina,47060212,2021S051247060212,0.161,47
Regina,47060213,2021S051247060213,0.5313,47
Regina,47060214,2021S051247060214,0.4676,47
Regina,47060215,2021S051247060215,0.2312,47
Regina,47060216,2021S051247060216,0.1727,47
Regina,47060217,2021S051247060217,0.1829,47
Regina,47060218,2021S051247060218,0.1251,47
Regina,47060219,2021S051247060219,0.1231,47
Regina,47060220,2021S051247060220,0.1182,47
Regina,47060221,2021S051247060221,0.1622,47
Regina,47060222,2021S051247060222,0.2208,47
Regina,47060223,2021S051247060223,0.1085,47
Regina,47060224,2021S051247060224,0.0655,47
Regina,47060225,2021S051247060225,0.1598,47
Regina,47060226,2021S051247060226,0.1409,47
Regina,47060227,2021S051247060227,0.0882,47
Regina,47060228,2021S051247060228,0.3392,47
Regina,47060229,2021S051247060229,0.3084,47
Regina,47060231,2021S051247060231,0.1752,47
Regina,47060232,2021S051247060232,0.1124,47
Regina,47060233,2021S051247060233,0.0675,47
Regina,47060234,2021S051247060234,0.0977,47
Regina,47060235,2021S051247060235,0.2316,47
Regina,47060236,2021S051247060236,0.0997,47
Regina,47060237,2021S051247060237,0.0959,47
Regina,47060238,2021S051247060238,0.7468,47
Regina,47060239,2021S051247060239,0.843,47
Regina,47060240,2021S051247060240,0.1814,47
Regina,47060241,2021S051247060241,0.3209,47
Regina,47060248,2021S051247060248,0.1864,47
Regina,47060249,2021S051247060249,0.201,47
Regina,47060252,2021S051247060252,16.8553,47
Regina,47060253,2021S051247060253,1.735,47
Regina,47060254,2021S051247060254,0.2652,47
Regina,47060255,2021S051247060255,0.1522,47
Regina,47060256,2021S051247060256,0.1172,47
Regina,47060257,2021S051247060257,0.0925,47
Regina,47060258,2021S051247060258,0.1163,47
Regina,47060259,2021S051247060259,1.7759,47
Regina,47060260,2021S051247060260,0.2916,47
Regina,47060261,2021S051247060261,0.2696,47
Regina,47060262,2021S051247060262,0.1092,47
Regina,47060263,2021S051247060263,0.1356,47
Regina,47060264,2021S051247060264,0.1421,47
Regina,47060265,2021S051247060265,0.1431,47
Regina,47060266,2021S051247060266,0.0928,47
Regina,47060267,2021S051247060267,0.1144,47
Regina,47060268,2021S051247060268,0.0565,47
Regina,47060269,2021S051247060269,0.4631,47
Regina,47060270,2021S051247060270,0.0702,47
