DAUID,Population,Population Density per Square Kilometre,Land Area in Square Kilometre
12170529,694,14.1,49.33
12170530,451,14.2,31.7
12170531,332,47.6,6.97
12170532,431,6.1,70.87
12170533,527,9.9,53.28
12170534,391,3005.4,0.13
12170535,372,1096.7,0.34
12170536,407,2854.1,0.14
12170537,527,17.1,30.75
12170538,486,48.3,10.07
12170540,471,12.5,37.81
12170541,755,13.2,57.04
12170542,592,43.2,13.71
12170543,355,589.1,0.6
12170544,342,379.4,0.9
12170546,1103,745.7,1.48
12170547,584,2.9,201.7
1218,7441,2.6,2836.19
12180020,413,2.4,175.54
12180021,506,1,492.84
12180022,424,7.8,54.53
12180023,441,24.3,18.15
12180024,417,21.4,19.47
12180025,472,0.6,843.33
12180026,727,7.9,92.48
12180027,580,4.1,142.56
12180028,570,1.4,420.45
12180029,525,359.9,1.46
12180030,293,464.3,0.63
12180031,552,3.2,172.98
12180032,500,2.9,170.29
12180033,691,192.4,3.59
12180034,0,0,0.13
12180035,330,1.4,227.78
1301,76558,52.4,1461.05
13010010,404,13.8,29.38
13010011,482,84.3,5.72
13010012,375,141.5,2.65
13010013,1634,219.4,7.45
13010014,472,966.4,0.49
13010015,332,1520.1,0.22
13010016,704,590.9,1.19
13010017,378,1776.3,0.21
13010018,686,556.6,1.23
13010019,584,1447,0.4
13010020,502,1198.1,0.42
13010021,483,887.2,0.54
13010022,394,4191.5,0.09
13010023,576,270.8,2.13
13010024,290,394.5,0.74
13010025,341,172.4,1.98
13010026,616,674.3,0.91
13010027,450,392.9,1.15
13010028,965,3365.9,0.29
13010029,516,2720.1,0.19
13010030,364,4986.3,0.07
13010031,449,2519.6,0.18
13010032,331,1554.7,0.21
13010033,508,2260.8,0.22
13010034,395,3024.5,0.13
13010035,335,1820.7,0.18
13010036,504,469.7,1.07
13010037,377,96.8,3.89
13010038,10,10.8,0.93
13010039,639,2054.7,0.31
13010040,313,1575.2,0.2
13010041,363,4696,0.08
13010042,397,3832,0.1
13010043,441,4310.9,0.1
13010044,447,2998,0.15
13010045,751,8057.9,0.09
13010046,491,9665.4,0.05
13010047,473,7254.6,0.07
13010048,380,4171.2,0.09
13010050,529,6320.2,0.08
13010051,452,6598.5,0.07
13010052,493,10400.8,0.05
13010053,531,8620.1,0.06
13010054,455,5403.8,0.08
13010055,510,76.8,6.64
13010056,472,453.3,1.04
13010057,564,31.3,18
13010059,406,42.9,9.46
13010060,706,1199.5,0.59
13010063,360,300,1.2
13010064,1252,636.7,1.97
13010065,284,2125.7,0.13
13010066,417,637.9,0.65
13010067,489,2605.2,0.19
13010068,258,2144.6,0.12
13010069,413,3041.2,0.14
13010070,395,4555.9,0.09
13010071,411,4053.3,0.1
13010072,399,5384.6,0.07
13010073,290,290.1,1
13010074,346,3645.9,0.09
13010075,390,2876.1,0.14
13010076,532,1444.5,0.37
13010077,480,1693.1,0.28
13010078,344,2431.1,0.14
13010079,319,2625.5,0.12
13010080,527,700.9,0.75
13010081,703,1922.3,0.37
13010082,424,1154.7,0.37
13010083,450,448.2,1
13010084,418,552.5,0.76
13010085,548,310.5,1.77
13010087,750,2405.4,0.31
13010088,514,2433.7,0.21
13010089,739,610.8,1.21
13010090,543,106,5.12
13010091,921,1846.4,0.5
13010092,736,1098.3,0.67
13010093,403,943.6,0.43
13010094,808,292.8,2.76
13010095,981,398.8,2.46
13010096,435,50.4,8.64
13010097,479,377.4,1.27
13010098,661,10.7,61.53
13010099,766,33.5,22.86
13010103,233,123.7,1.88
13010104,362,474.1,0.76
13010105,556,1931.2,0.29
13010106,370,1378.5,0.27
13010107,470,2991.7,0.16
13010108,286,6098.1,0.05
13010109,447,6497.1,0.07
13010110,543,1429.3,0.38
13010111,692,2559.2,0.27
13010112,464,4444.4,0.1
13010113,422,2576.3,0.16
13010114,321,2565.9,0.13
13010115,470,2363,0.2
13010116,653,1952.2,0.33
13010117,429,335.6,1.28
13010118,688,2091.8,0.33
13010119,374,2496.7,0.15
13010120,554,1369.9,0.4
13010121,451,4478.6,0.1
13010122,573,1830.7,0.31
13010123,516,3444.6,0.15
13010124,321,824.8,0.39
13010125,355,3854.5,0.09
13010126,478,52.2,9.15
13010127,708,99.6,7.11
13010128,545,574.9,0.95
13010129,672,3068.5,0.22
