DAUID,Residential instability Scores,Ethno-cultural composition Scores,Economic dependency Scores,Situational vulnerability Scores
13010039,2.813,0.371,2.076,1.404
13010040,2.845,0.253,-0.29,1.618
13010041,2.42,-0.707,0.698,0.549
13010042,2.53,-0.367,-0.716,0.435
13010043,3.103,-0.713,-1.314,-0.551
13010044,2.937,-0.815,1.413,0.234
13010045,2.45,-0.473,-0.456,-0.511
13010046,2.829,-0.205,-1.341,-0.028
13010047,2.395,-0.379,0.198,1.909
13010048,1.35,-0.181,-0.412,0.737
13010050,2.365,-0.043,0.374,1.582
13010051,1.697,-0.557,-0.972,1.063
13010052,2.425,-0.472,-1.092,0.757
13010053,2.331,0.099,-1.081,0.653
13010054,1.816,0.521,-1.041,0.941
13010055,-0.747,-1.076,-1.114,-0.105
13010056,-0.532,-0.896,-0.012,-0.28
13010057,-0.344,-0.732,0.337,0.685
13010059,-0.374,-0.554,-1.166,0.075
13010060,-0.526,-0.931,-0.628,-0.205
13010063,-0.853,-0.882,-0.673,0.248
13010064,1.527,-0.738,1.361,-0.213
13010065,-0.465,-0.913,-0.006,-0.072
13010066,-0.616,-0.73,0.002,0.836
13010067,0.518,-0.69,-0.092,1.055
13010068,0.063,-0.892,-0.819,0.199
13010069,1.05,-0.584,1.038,0.673
13010070,0.316,-0.952,-0.827,0.563
13010071,1.214,-0.672,-0.47,0.627
13010072,1.639,-0.435,0.217,1.647
13010073,0.667,-0.28,0.676,1.219
13010074,1.597,-0.479,-0.512,1.368
13010075,1.274,-0.717,0.172,1.297
13010076,1.192,-0.361,0.058,0.518
13010077,0.429,-0.849,-0.673,0.01
13010078,-0.524,-1.192,-0.564,-0.158
13010079,-0.465,-0.913,1.402,-0.243
13010080,-0.723,-1.192,-0.314,-0.741
13010081,0.485,-0.934,0.16,0.212
13010082,1.339,-0.814,0.134,0.052
13010083,0.076,-0.912,0.202,0.1
13010084,1.685,-0.744,-0.159,1.136
13010085,-0.786,-0.988,-0.102,-0.724
13010087,-0.601,-0.863,-0.28,-0.369
13010088,0.112,-0.74,2.765,-0.735
13010089,-0.581,-0.866,-1.347,-0.792
13010090,0.19,-0.909,0.603,-0.204
13010091,0.129,-0.872,-0.092,-0.08
13010092,0.364,-0.553,-0.298,-0.371
13010093,-0.143,-0.979,-0.987,-0.459
13010094,-0.824,-0.96,-0.006,-0.556
13010095,-0.56,-1.096,0.044,-0.314
13010096,-0.57,-1.027,-0.194,-0.312
13010097,-0.738,-1.144,0.018,-0.251
13010098,-0.695,-0.763,-0.628,-0.117
13010099,-0.819,-0.854,-0.299,-0.314
13010103,0.387,-0.838,1.72,0.308
13010104,-0.049,-0.69,0.421,0.901
13010105,0.01,-0.716,0.329,0.995
13010106,-0.609,-1.018,-0.176,-0.393
13010107,1.721,-0.215,0.03,2.048
13010108,1.98,-0.268,0.376,1.484
13010109,1.552,-0.31,0.287,1.43
13010110,2.031,-0.014,0.363,1.589
13010111,1.907,0.552,0.216,0.143
13010112,0.806,0.017,-0.244,0.435
13010113,0.874,-1.005,-0.71,0.65
13010114,1.071,-0.77,0.841,-0.055
13010115,2.651,-0.672,3.043,0.769
13010116,1.986,-0.732,0.695,-0.084
13010117,1.64,2.533,1.479,2.167
13010118,0.71,4.299,0.696,2.48
13010119,0.577,1.796,1.431,2.631
13010120,0.391,-0.78,-0.863,-0.015
13010121,0.62,-0.535,0.958,1.175
13010122,0.661,-0.594,-1.308,-0.737
13010123,1.32,-0.355,-0.938,0.887
13010124,2.073,1.158,-0.713,0.763
13010125,2.713,0.226,0.064,1.373
13010126,1.725,-0.727,-0.006,0.787
13010127,-0.721,-0.216,-0.187,-0.759
13010128,2.155,0.007,0.116,-0.833
13010129,1.82,0.709,-0.838,0.296
13010130,1.421,0.871,-0.808,-0.352
13010133,0.226,-0.38,0.285,-0.546
13010134,-0.601,0.179,-0.543,-0.969
13010135,0.913,-0.226,0.05,0.549
13010136,-0.757,0.209,-0.599,-0.954
13010137,-0.633,-0.669,-0.273,-1.158
13010138,0.1,-0.809,-0.151,0.06
13010139,1.029,-0.405,-0.149,2.158
13010140,1.256,-0.31,-0.571,0.5
13010141,-0.81,-0.783,-0.455,0.131
13010143,-0.491,-0.926,-0.039,-0.476
13010144,-0.827,-0.926,-0.431,-0.098
13010146,1.445,-0.821,0.585,0.339
13010147,2.142,-0.567,0.589,-0.675
13010148,1.919,-0.135,-0.746,0.069
13010149,1.84,0.08,0.24,0.14
13010150,2.116,-1.029,-0.518,0.646
13010151,1.499,-0.494,-0.245,0.954
13010152,-0.557,-0.866,0.697,0.271
13010153,1.155,-0.089,-0.826,-0.096
13010154,-0.464,-0.908,0.096,-0.162
13010155,-0.575,-0.8,1.604,0.237
13010156,0.356,-1.18,1.588,0.048
13010157,-0.504,-0.869,-0.217,0.279
13010158,-0.787,-0.826,-0.338,-0.033
13010159,-0.775,-0.927,-0.451,-0.007
13010160,-0.966,-0.775,-0.051,0.109
13010161,-0.654,-0.876,-0.231,0.235
13010162,-0.135,-0.778,-0.987,0.258
13010163,-0.763,-0.925,0.911,-0.543
13010164,-0.524,-0.939,0.186,0.096
13010165,-0.652,-0.884,-0.012,-0.326
13020051,0.043,-1.277,0.844,-0.268
13020052,-0.587,-0.687,-0.197,0.195
13020053,-0.581,-0.904,0.711,0.548
13020054,-0.664,-0.736,-0.359,0.056
13020055,-0.608,-0.78,0.746,0.239
13020056,-0.646,-0.693,0.169,-0.177
13020057,-0.484,-0.494,0.2,0.266
13020058,-0.185,-0.831,0.647,0.64
13020059,0.357,-1.022,0.603,-0.39
13020060,-0.015,-0.545,-0.677,-0.591
13020061,-0.025,-0.477,0.411,0.67
13020062,-0.22,-0.386,0.007,0.592
13020063,-0.705,-0.736,0.248,0.827
13020064,-0.286,-1.031,-0.022,-0.319
13020065,-0.275,-0.887,-0.543,0.024
13020066,-0.06,-1.016,0.895,0.667
13020067,-0.721,-1.055,0.179,-0.804
13020068,-0.485,-0.442,1.469,0.666
13020069,-0.628,-0.68,0.6,-0.566
13020070,-0.308,-0.971,0.575,0.044
13020071,0.139,-0.686,1.167,-0.1
13020072,-0.765,-0.821,0.422,-0.494
13020074,-0.036,-0.904,0.673,-1.072
13020075,0.242,-0.817,-0.426,-0.215
13020076,0.242,-0.789,1.041,-0.785
13020077,-0.07,-0.73,0.316,0
13020078,-0.35,-0.657,0.136,-0.129
13020079,-1.003,-0.886,0.529,-0.535
13020080,-0.095,-0.497,0.63,-0.356
13020081,-0.641,-1.087,-0.05,-0.294
13020082,-0.259,-0.804,0.52,0.077
13020083,-0.63,-0.785,0.401,0.774
13020084,-0.323,-0.961,-0.1,0.423
13020085,-0.922,-0.994,0.451,0.057
13020086,-0.635,-1.005,-0.188,-0.2
13020087,0.429,-0.667,-0.101,-0.038
13020088,0.254,-0.903,0.467,-0.298
13020089,0.21,-0.716,-0.028,-0.018
13020090,0.865,-0.687,-0.112,0.369
13020091,-0.424,-1.056,0.055,-0.328
13020092,1.652,-0.587,2.132,-0.482
13020093,0.427,-0.754,0.354,0.982
13020094,0.658,-0.666,-0.38,1.182
13020095,0.234,-0.253,0.286,1.12
13020096,-0.571,-0.659,1.12,0.998
13020097,-0.569,-0.898,-0.317,0.403
13020098,-0.829,-0.824,0.862,0.963
13020099,-0.543,-0.858,0.964,0.182
13020100,-0.649,-0.929,1.095,0.096
13020101,-0.263,-1.04,-0.731,-0.058
13020102,-0.467,-1.315,0.754,-0.051
13020103,-0.029,-0.952,-0.438,0.761
13020104,-0.086,-1.077,1.069,-0.188
13020105,-0.233,-1.003,0.077,0.492
13020106,-0.341,-0.988,0.565,0.622
13030044,-0.311,-0.912,0.85,0.502
13030045,-0.796,-1.004,-1.026,-0.364
13030046,-0.351,-0.751,0.257,-0.28
13030047,-0.651,-0.97,-0.191,-0.093
13030048,-0.097,-1.04,-0.123,0.158
13030049,-0.802,-0.87,-1.282,-0.198
13030050,-0.341,-0.743,0.237,0.957
13030051,0.631,-0.845,-0.392,1.178
13030052,-0.644,-1.216,-1.272,-0.625
13030053,-0.569,-0.992,-0.814,-0.338
13030054,-0.168,-1.008,0.264,-0.149
13030055,-0.48,-0.902,-1.564,-0.249
13030056,-0.729,-0.995,-0.826,-0.605
13030057,-1.019,-0.931,-1.431,-0.132
13030058,0.104,-0.628,0.332,-0.266
13030059,-0.967,-0.98,-1.143,-0.59
13030060,-0.19,-0.983,-1.182,-0.42
13030061,-0.052,-0.89,-0.204,-0.497
13030062,-0.67,-0.856,-1.845,-0.57
13030063,-0.533,-0.871,-1.336,-0.541
13030064,0.309,-1.322,-0.522,-0.572
13030065,1.235,-1.592,-2.865,0.939
13030066,1.16,-0.733,0.897,0.21
13030067,0.548,-0.956,-0.818,-0.01
13030069,1.397,-1.133,-2.899,-0.052
13030070,1.227,-1.584,-2.525,1.318
13030071,1.173,-0.917,-2.778,0.339
13030072,0.368,-0.773,-2.473,0.009
13030074,1.95,-2.02,-3.223,0.769
13030077,-0.612,-0.703,-0.64,0.473
13030078,-0.889,-0.921,0.591,-0.158
13030079,-0.972,-0.957,-0.273,-0.284
13030080,-1.065,-0.82,-1.085,-0.114
13030083,-0.256,-0.954,0.119,0.078
13030085,-0.727,-0.831,-0.038,0.879
13030086,-0.769,-0.818,-0.376,0.325
13030087,-0.525,-1.106,0.326,-0.135
13030088,-0.577,-0.757,0.857,0.38
13030089,-0.739,-0.966,0.099,0.994
13030090,-0.36,-0.892,-0.038,0.311
13030091,-0.737,-0.901,-0.428,0.532
13030092,-0.731,-1.017,-1.636,-0.079
13030093,-0.672,-0.981,-0.776,-0.292
13030094,-0.702,-0.74,-0.746,0.184
13030103,0.301,-0.791,-1.965,-0.318
13030104,-0.476,-0.809,-0.431,0.171
13030105,-0.859,-1.25,-1.863,-0.781
13030106,-0.659,-0.822,-0.506,0.454
13030109,1.55,-1.002,-0.154,-0.347
13030111,0.436,-0.327,0.087,4.407
13040035,-0.536,-1.046,0.754,0.039
13040036,-0.083,-1.233,1.327,-0.167
13040038,-0.21,-0.571,1.185,0.308
13040040,-0.647,-0.86,0.726,0.511
13040041,-0.596,-1.005,1.829,0.406
13040042,-0.177,-0.948,0.962,0.254
13040043,-0.592,-0.861,2.09,0.8
13040044,-0.427,-0.962,1.836,-0.082
13040045,-0.76,-0.936,1.55,0.409
13040046,-0.358,-1.13,0.729,-0.512
13040047,-0.559,-0.968,0.092,0.482
13040048,-0.044,-0.835,1.893,0.194
13040049,-0.44,-1.012,1.083,-0.066
13040050,-0.404,-0.957,1.361,0.538
13040051,-0.656,-1.03,-0.401,-0.236
13040052,-0.498,-0.947,0.894,-0.276
13040053,-0.52,-0.997,0.912,0.366
13040054,-0.153,-1.021,0.859,-0.025
13040055,0.633,-0.854,0.868,0.866
13040056,0.784,-0.579,1.528,1.86
13040057,0.061,-0.862,0.941,0.234
13040058,-0.424,-0.843,1.666,0.749
13040059,-0.365,-0.925,0.296,1.396
13040060,0.168,-1.12,0.789,1.015
13040062,-0.466,-0.943,1.071,0.371
13050084,-0.467,-0.976,-0.257,0.187
13050085,-0.488,-0.882,0.751,0.555
13050086,-0.566,-0.936,0.056,0.028
13050087,-0.217,-0.984,0.856,0.328
13050088,-0.732,-0.867,0.695,-0.521
13050089,0.16,-0.809,0.809,0.633
13050090,-0.763,-0.929,0.373,-0.244
13050091,0.158,-0.825,1.329,0.195
13050092,-0.237,-0.974,-0.235,-0.642
13050093,0.138,-0.885,0.241,-0.025
13050094,-0.77,-1.14,-0.924,-0.582
13050095,-0.731,-0.666,-0.109,0.316
13050096,-1.057,-0.929,-0.59,-0.479
13050097,0.649,-0.212,0.982,0.177
13050098,0.65,-0.823,0.647,1.125
13050099,0.828,-0.428,0.009,0.896
13050100,0.654,-0.907,1.762,0.172
13050101,0.574,-0.395,0.329,-0.09
13050102,-0.941,-0.906,0.577,-0.422
13050103,-0.642,-0.892,0.349,-0.136
13050104,-0.799,-1.033,-0.327,-0.374
13050105,-0.339,-0.874,-0.245,0.44
13050106,-0.901,-0.786,-0.118,0.326
13050107,-0.618,-0.993,0.118,-0.053
13050108,-0.547,-0.812,0.487,0.286
13050109,-0.525,-0.998,-0.524,0.092
13050110,-0.298,-0.893,0.031,0.476
13050111,-0.915,-0.885,-0.178,-0.046
13050112,-0.424,-0.913,0.268,0.36
13050113,-0.598,-0.672,-0.254,1.019
13050114,-0.232,-1.007,0.104,-0.088
13050115,-1.074,-0.834,-0.012,0.22
13050116,-0.525,-0.801,-0.624,0.001
13050117,-0.254,-0.938,-0.665,-0.043
13050118,-1.222,-0.978,-0.044,-0.659
13050119,-0.969,-1.03,-1.278,-0.828
13050120,-1.003,-0.955,-0.622,-0.776
13050121,-1.048,-1.016,1.4,-1.102
13050122,-0.736,-1.109,-1.929,-0.679
13050123,-0.562,-0.464,0.027,0.071
13050124,0.385,-0.905,0.276,0.899
13050125,-0.909,-0.784,-0.746,-0.428
13050126,-0.278,-0.746,-0.127,0.498
13050127,0.185,-0.818,0.513,-0.471
13050128,-0.086,-0.783,-0.031,-0.802
13050129,-0.707,-0.741,-1.189,-0.903
13050130,-0.559,-0.781,-0.468,-0.677
13050132,-1.172,-1.002,-1.318,-1.114
13050133,-0.98,-0.841,-0.713,-0.635
13050134,0.881,-0.565,1.006,-0.273
13050135,0.546,-0.943,1.154,-0.69
13050136,0.879,-0.389,-0.271,-0.024
13050137,0.865,-0.846,-0.607,0.341
13050138,-0.653,-0.847,-1.01,-0.747
13050139,-0.778,-0.55,-0.256,-0.821
13050140,-0.997,-0.658,-1.059,-1.095
13050141,-0.801,-1.02,-1.178,-0.629
13050142,-0.53,-0.808,1.018,-0.267
13050143,-0.869,-0.789,-1.115,-0.147
13050144,-1.096,-0.943,-0.457,-0.764
13050145,-1.059,-0.852,-0.776,-0.95
13050146,-0.21,-0.97,-0.111,-0.406
13050147,-0.77,-0.668,-0.963,-0.306
13050148,-0.58,-0.762,-0.734,-0.668
13050149,-1.102,-0.698,-0.441,-0.911
13050150,-0.492,-1.031,0.874,-0.935
13050151,-1.405,-0.801,-1.031,-0.925
13050152,-1.179,-0.871,-0.372,-1.036
13050153,-0.473,-1.096,0.112,-1.049
13050157,-1.205,-0.252,-1.258,-0.838
13050159,-1.04,-0.238,-2.034,-1.12
13050160,-1.06,-0.516,-0.408,-1.001
13050164,-1.075,-1.024,-1.139,-0.827
13050166,-1.076,-0.676,-0.579,-0.481
13050167,-1.017,-0.946,-0.99,-0.138
13050168,-0.439,-0.96,0.48,-0.818
13050169,-1.322,-0.934,-1.462,-0.939
13050170,-0.852,-0.953,-0.35,-0.956
13050173,1.377,-0.606,1.157,-0.486
13050174,-0.51,-0.873,-0.677,-0.687
13050175,-0.795,-1.007,-0.594,0.217
13050176,-0.831,-0.701,0.249,0.204
13050177,-0.6,-0.956,0.173,-0.465
13050178,-0.917,-1.282,-1.126,-1.004
13050179,-1.299,-0.829,-0.923,-0.351
13050180,-0.637,-1.02,-0.138,-0.508
13050181,-0.965,-0.959,-1.026,-0.52
13050182,1.003,-0.624,-0.639,0.544
13050183,-0.83,-0.825,-0.138,-0.243
13050184,0.026,-0.817,0.423,-0.298
13050185,-0.907,-1.046,0.019,-0.585
13050186,-0.775,-0.945,0.37,-0.368
13050187,-0.577,-1.061,-0.913,-0.235
13050188,-0.453,-1.109,-1.21,-0.155
13050189,-0.344,-0.903,0.587,0.434
13050190,-0.595,-1.098,1.13,-0.232
13050191,-0.603,-0.961,-0.228,-0.294
13050192,-0.618,-0.887,0.192,-0.176
13050193,-0.661,-0.957,0.333,0.296
13050194,-0.817,-0.942,0.728,-0.582
13050195,-0.803,-0.959,-0.45,-0.325
13050196,-1.143,-0.976,0.261,-0.922
13050197,-0.526,-0.829,-0.111,0.296
13050198,-0.262,-0.801,-0.905,0.1
13050199,0.04,-0.916,-0.006,-0.229
13050200,0.159,-1.044,0.779,-0.637
13050201,-0.32,-0.81,1.182,-0.248
13050202,-0.267,-0.879,-0.721,0.16
13050203,-0.772,-0.978,-0.949,-0.634
13050204,-0.687,-0.788,1.241,-0.019
13050205,-0.403,-0.907,-0.247,-0.322
13050206,-0.43,-0.854,-0.821,0.518
13050207,-0.668,-1.002,-0.079,-0.108
13050208,-0.957,-1.107,0.279,-0.612
13050209,-0.129,-0.851,0.67,0.553
13050210,-0.367,-0.945,0.184,-0.529
13050211,-0.574,-0.898,0.3,0.567
13050212,-0.171,-1.194,0.424,0.277
13050213,1.405,-0.75,-0.035,0.404
13050214,0.172,-0.905,1.309,-0.328
13050215,-0.696,-0.81,-0.863,-0.99
13050218,0.242,-0.784,-0.707,-0.252
13050221,-0.503,-0.753,-0.819,-1.015
13050223,-1.294,-0.875,0.36,-0.994
13050224,-1.03,-0.869,-0.511,-0.706
13050226,-1.016,-1.004,0.394,-0.758
13050228,-0.753,-0.63,-1.76,-0.959
13050229,-1.099,-0.727,-0.91,-0.762
13050232,-0.784,-1.1,-0.388,-0.611
13050233,-0.975,-0.896,-0.703,-0.837
13060001,-0.824,-0.909,-0.679,-0.244
13060002,-1.013,-0.877,-0.113,0.178
13060003,0.057,-0.726,0.38,-0.044
13060004,-0.23,-0.6,-1.177,-0.599
13060005,-0.28,-1.352,0.68,-0.919
13060006,-0.261,-0.631,-0.476,-0.069
13060007,-0.443,-0.767,-0.426,-0.684
13060008,-0.438,-0.904,-0.632,-0.631
13060009,-0.024,-0.616,0.557,-0.562
13060010,-0.377,-1.015,-0.991,-0.295
13060011,0.699,-0.826,-1.051,0.287
13060012,0.403,-0.966,0.075,-0.449
13060013,-0.349,-1.07,-0.229,-0.501
13060014,1.031,-0.794,0.389,-0.465
13060017,-0.637,-0.967,0.438,-0.079
13060018,-0.241,-1.099,0.047,-0.141
13060019,0.236,-0.622,-0.446,-0.401
13060020,1.308,-0.53,-0.123,-0.277
13060021,-0.42,-0.708,-0.291,-0.146
13060022,0.702,-0.905,0.166,-0.44
13060023,-0.728,-0.216,-0.588,-0.433
13060024,-0.999,-1.049,-1.015,-0.767
13060025,-0.778,-1.049,-1.508,-0.416
13060026,-0.677,-0.802,-0.473,0.187
13060027,-1.107,-1.005,-0.669,-0.665
13060028,-0.852,-0.789,0.179,-0.682
13060029,0.274,-0.625,0.532,-0.334
13060030,2.508,-0.019,0.352,-0.015
13060031,0.056,-0.876,1.462,-0.468
13060032,-0.48,-0.618,-1.363,-0.513
13060052,-0.204,-0.778,-0.663,0.092
13060053,-0.82,-0.766,-0.538,-0.505
13060054,-0.716,-0.887,-0.375,-0.45
13060055,-0.85,-0.906,-0.714,-0.398
13060056,-0.673,-0.931,-0.013,0.398
13060057,-0.473,-1.059,0.576,-0.439
13060058,0.043,-0.943,0.388,0.035
13060059,0.432,-0.78,0.468,-0.035
13060060,-0.66,-0.997,-0.011,0.366
13060061,-0.555,-1.034,1.735,0.23
13060062,-0.462,-0.98,-0.117,0.439
13060063,0.219,-1.066,1.232,1.022
13060064,-0.504,-0.838,1.223,0.625
13060065,-0.335,-0.918,1.401,-0.159
13060067,-0.217,-0.879,0.883,0.469
13060068,-0.524,-0.956,1.245,0.147
13060069,-0.192,-0.799,1.316,0.991
13060070,-0.758,-0.823,-0.607,-0.103
13060071,-0.647,-0.793,-0.508,0.387
13060072,-0.858,-0.949,-0.148,-0.671
13060073,-0.629,-0.939,0.512,-0.174
13060074,-0.637,-0.917,0.463,0.428
13070033,0.837,0.451,0.018,0.281
13070034,-0.386,-0.54,-1.474,-1.017
13070035,-0.603,-0.747,-1.246,-0.817
13070036,0.238,-0.6,-0.661,-0.389
13070037,2.649,0.13,-1.383,-0.139
13070038,0.356,0.634,0.029,0.693
13070039,1.874,0.328,-0.174,-0.435
13070040,0.363,-0.61,1.642,0.05
13070041,0.97,0.02,-0.346,0.278
13070042,1.351,-0.154,0.195,-0.316
13070043,-0.629,-0.611,-0.881,-0.811
13070044,1.953,-0.272,1.586,-0.746
13070045,1.615,-0.709,2.054,-0.552
13070046,1.45,-0.367,-0.255,-0.136
13070047,0.276,-0.682,-0.431,0.122
13070048,0.689,1.179,-0.354,0.509
13070049,-0.627,-0.906,-1.537,-0.311
13070050,0.452,-0.777,0.302,0.15
13070051,-0.478,-0.857,-0.573,-0.426
13070052,-0.388,-0.905,-0.229,-0.105
13070053,0.965,0.748,-0.106,0.331
13070054,1.183,-0.731,-1.152,0.274
13070055,1.697,-0.146,-0.57,0.654
13070056,1.619,-0.324,0.304,0.255
13070057,2.64,0.296,-1.328,0.972
13070058,1.727,-0.753,0.793,-0.061
13070059,1.974,-0.625,1.583,0.116
13070060,1.694,0.179,-1.224,0.054
13070061,-0.135,-0.397,-0.216,-0.164
13070062,-0.445,-0.721,0.446,-0.285
13070063,-0.433,-0.706,-0.385,-0.167
13070064,-0.87,-0.994,-0.488,-0.479
13070065,0.434,-0.597,-0.202,-0.053
13070066,1.9,0.436,-0.381,0.162
13070067,1.824,-0.475,-0.871,-0.182
13070068,-0.596,-0.851,-0.453,-0.473
13070069,0.8,-0.556,-1.184,0.075
13070070,1.585,-0.216,-0.996,-0.372
13070071,1.863,-0.46,-1.043,0.296
13070072,1.616,-0.716,0.527,0.636
13070073,1.188,-0.494,-0.504,0.536
13070074,0.322,-0.633,-0.911,0.072
13070075,0.193,-0.744,0.02,-0.003
13070076,1.903,0.093,-1.51,0.751
13070077,1.682,0.012,-0.531,0.931
13070078,-0.029,-0.705,-1.198,0.216
13070079,1.476,-0.605,0.313,0.1
13070080,0.601,0.028,-1.04,0.694
13070081,1.436,0.553,-0.074,1.029
13070082,1.541,-0.672,-0.892,0.535
13070083,1.685,0.016,-0.179,0.726
13070084,1.279,-0.054,0.066,0.661
13070085,0.315,-0.053,-0.955,0.351
13070088,0.007,-0.541,0.448,0.506
13070089,-0.142,-0.737,0.362,0.139
13070090,-1.119,-0.602,-0.661,-0.607
13070092,0.719,0.3,-0.851,0.188
13070093,0.591,-0.647,0.623,0.584
13070094,1.442,-0.49,0.665,0.047
13070095,1.045,1.249,0.654,2.422
13070096,0.927,-0.63,2.503,-0.426
13070097,-0.157,-0.48,-0.203,-0.046
13070098,1.27,0.135,-0.493,0.282
13070099,2.308,-0.443,1.752,-0.625
13070100,-0.25,-0.7,-0.507,-0.364
13070101,-0.94,-0.971,-0.164,-0.426
13070102,-0.81,-0.828,-0.537,-0.676
13070105,-0.787,-0.649,-0.265,-0.707
13070106,-0.834,-0.826,-1.048,-0.324
13070107,-0.874,-0.949,-0.51,-0.791
13070109,-0.998,-0.949,-0.478,-0.773
13070110,-1.068,-0.336,-1.071,-0.586
13070111,-1.065,-0.558,-1.217,-0.878
13070113,0.54,0.051,-0.778,-0.068
13070114,-0.967,-0.57,-0.501,-1.369
13070115,1.142,0.79,-0.043,-0.253
13070116,1.172,-0.287,0.172,0.516
13070117,1.981,-0.642,-0.477,0.272
13070118,0.295,-0.652,-0.689,0.143
13070119,3.018,-1.059,2.29,-0.179
13070120,1.769,0.289,-0.684,0.407
13070121,-0.207,-1.09,-0.478,-0.868
13070122,2.9,-0.687,2.568,-0.106
13070123,2.57,1.098,-1.255,-0.065
13070124,2.53,-0.198,-0.052,0.876
13070125,1.284,-0.593,-0.323,0.591
13070126,1.285,-0.936,-1.297,-0.049
13070127,2.344,-0.145,-1.078,0.507
13070128,3.026,0.617,0.167,-0.334
13070129,2.892,-0.106,-0.742,0.793
13070130,2.2,0.931,0.097,0.378
13070131,2.04,-0.341,0.18,0.292
13070132,1.303,-0.24,-1.571,0.185
13070133,2.215,-0.503,0.002,-0.581
13070134,2.72,-0.141,1.518,-0.604
13070135,2.246,-0.003,-0.503,-0.287
13070136,1.434,-0.275,-1.312,-0.456
13070137,1.121,-0.032,-1.074,-0.124
13070138,-0.241,-0.841,-0.483,-0.377
13070139,-0.615,-0.328,-0.346,-0.769
13070140,-0.104,-0.753,-0.612,-0.44
13070141,-0.559,-1.022,-0.721,-0.612
13070142,-0.148,-0.65,0.447,-0.9
13070143,2.479,-1.159,6.353,-2.049
13070146,-0.433,-0.827,0.513,-0.286
13070147,-0.089,-0.798,0.715,1.393
13070175,-0.357,-0.407,-0.512,-0.406
13070176,0.275,-0.632,-1.543,-0.62
13070177,-1.085,-1.037,-1.369,-0.629
13070180,-0.105,-0.526,-1.037,-0.613
13070181,-0.664,-0.485,-1.815,-0.715
13070182,-0.179,-0.689,-0.902,-0.748
13070183,0.492,-1.088,0.372,0.812
13070186,-0.012,-0.581,-1.682,-0.521
13070187,0.103,-0.245,-0.961,-0.109
13070188,-0.577,-0.381,-1.147,-0.412
13070225,1.248,0.279,-0.719,1.414
13070226,-0.201,-0.916,-0.492,-0.039
13070227,0.608,-0.268,-0.847,-0.201
13070228,-1.191,-0.831,-1.224,-1.045
13070229,-0.172,-0.688,0.788,0.039
13070230,0.49,0.123,-0.597,-0.113
13070231,0.159,-0.589,0.007,-0.464
13070232,-0.641,-0.637,0.351,-0.103
13070233,-0.96,-1.015,-0.057,-0.634
13070234,-0.735,-0.771,-0.674,-0.365
13070235,-0.667,-0.884,0.849,-0.263
13070236,-0.306,-0.479,0.093,-0.077
13070238,-0.243,-0.371,0.133,-0.362
13070239,0.557,-0.662,0.562,-0.171
13070240,1.901,-0.976,3.277,0.302
13070241,0.299,-0.914,1.074,-0.477
13070242,0.67,-0.662,1.224,0.117
13070248,-0.778,-0.737,-0.47,-0.498
13070249,-0.515,-1.103,-0.478,-0.451
13070250,-0.866,-0.888,-0.134,-0.023
13070251,-0.882,-0.983,-0.115,-0.271
13070252,-0.956,-0.821,-1.373,-0.638
13070253,-0.667,-0.993,-0.515,-0.049
13070254,-0.573,-0.96,-1.247,-0.33
13070255,-0.86,-0.939,-0.758,-0.793
13070256,-0.499,-0.66,0.252,-0.924
13070257,-0.998,-1.079,-1.057,-0.576
13070258,-0.895,-1.043,-1.04,-0.224
13070259,-0.766,-0.734,-0.66,-0.767
13070260,-0.61,-1.087,0.031,-0.297
13070261,-0.9,-0.874,-0.578,-0.41
13070262,-0.024,-0.785,-0.818,0.511
13070263,-0.036,-0.778,1.564,-0.097
13070264,-0.174,-0.946,0.014,0.006
13070265,0.029,-0.728,-0.723,0.336
13070266,-0.549,-0.96,-0.075,0.539
13070267,-0.584,-0.856,-0.748,0.098
13070268,-0.501,-0.774,-0.362,0.286
13070269,0.199,-0.963,0.903,-0.069
13070270,-0.4,-0.781,0.814,0.325
13070271,-0.696,-0.732,0.661,0.269
13070272,-0.708,-0.802,0.721,0.104
13070273,-0.527,-1.002,0.217,-0.731
13070274,-0.512,-0.688,0.11,0.622
13070275,-0.812,-0.904,-0.245,-0.143
13070276,-0.87,-0.692,-0.559,-0.026
13070277,-0.313,-0.847,0.27,-0.463
13070278,-0.18,-0.911,-0.053,0.262
13070279,-0.001,-0.941,0.665,0.625
13070280,-0.302,-0.912,0.712,0.096
13070281,-0.049,-0.759,0.107,0.732
13070284,-1.001,-0.557,1.288,0.388
13070285,-0.949,-1.073,-0.545,-0.388
13070286,-0.495,-0.99,-0.34,0.035
13070287,-0.255,-0.988,-0.374,-0.069
13070288,-0.053,-0.639,0.973,0.072
13070289,0.099,-0.818,0.738,0.102
13070290,-0.425,-1.011,0.321,0.355
13070293,-0.339,-1.1,0.701,0.936
13070294,-0.497,-1.127,0.043,0.143
13070295,0.505,-0.641,-0.399,-0.257
13070296,-0.641,-0.842,0.451,-0.616
13070297,-0.765,-0.871,-0.258,0.124
13070298,1.221,-0.772,0.471,-0.513
13070299,-0.184,-0.527,0.525,-0.169
13070300,0.358,-0.835,0.548,-0.333
13070301,2.083,-0.31,0.289,0.321
13070302,-0.288,-1,0.019,-0.23
13070303,-0.522,-0.689,-0.387,-0.009
13070304,-0.221,-0.991,0.233,0.368
13070305,-0.712,-0.974,-0.311,0.001
13070306,-0.407,-0.812,1.202,-0.134
